NP_878316.1	K03495
NP_878434.1	K03771
NP_878435.1	K04744
NP_878436.1	K01704
NP_878437.1	K01703
NP_878438.1	K00052
NP_878439.1	K01649
NP_878440.1	K03438
NP_878441.1	K03586
NP_878442.1	K03587
NP_878443.1	K01928
NP_878444.1	K01929
NP_878445.1	K01000
NP_878446.1	K01925
NP_878447.1	K03588
NP_878448.1	K02563
NP_878449.1	K01924
NP_878450.1	K03589
NP_878451.1	K03590
NP_878452.1	K03531
NP_878453.1	K02535
NP_878454.1	K03070
NP_878455.1	K06204
NP_878456.1	K00950
NP_878457.1	K00382
NP_878458.1	K00627
NP_878459.1	K00163
NP_878460.1	K05365
NP_878461.1	K15724
NP_878462.1	K01937
NP_878463.1	K01689
NP_878464.1	K00380
NP_878465.1	K00381
NP_878466.1	K00390
NP_878467.1	K02302
NP_878468.1	K00957
NP_878469.1	K00956
NP_878470.1	K00860
NP_878471.1	K05589
NP_878472.1	K06194
NP_878473.1	K01872
NP_878474.1	K03563
NP_878475.1	K03106
NP_878476.1	K02959
NP_878477.1	K02860
NP_878478.1	K00554
NP_878479.1	K02884
NP_878480.1	K01626
NP_878481.1	K14187
NP_878482.1	K14170
NP_878483.1	K05807
NP_878484.1	K06180
NP_878485.1	K03695
NP_878486.1	K00075
NP_878487.1	K03524
NP_878488.1	K03594
NP_878489.1	K02946
NP_878490.1	K02906
NP_878491.1	K02926
NP_878492.1	K02892
NP_878493.1	K02886
NP_878494.1	K02965
NP_878495.1	K02890
NP_878496.1	K02982
NP_878497.1	K02878
NP_878498.1	K02904
NP_878499.1	K02961
NP_878500.1	K02874
NP_878501.1	K02895
NP_878502.1	K02931
NP_878503.1	K02954
NP_878504.1	K02994
NP_878505.1	K02933
NP_878506.1	K02881
NP_878507.1	K02988
NP_878508.1	K02907
NP_878509.1	K02876
NP_878510.1	K03076
NP_878511.1	K02919
NP_878512.1	K02952
NP_878513.1	K02948
NP_878514.1	K02986
NP_878515.1	K03040
NP_878516.1	K02879
NP_878517.1	K00604
NP_878518.1	K01462
NP_878519.1	K07566
NP_878520.1	K00014
NP_878521.1	K01069
NP_878522.1	K03469
NP_878523.1	K02342
NP_878524.1	K03271
NP_878525.1	K03386
NP_878526.1	K07568
NP_878527.1	K00773
NP_878528.1	K03210
NP_878529.1	K03072
NP_878530.1	K03074
NP_878531.1	K11752
NP_878532.1	K00794
NP_878533.1	K03625
NP_878534.1	K01095
NP_878535.1	K01662
NP_878536.1	K03151
NP_878537.1
NP_878538.1	K02301
NP_878539.1	K02300
NP_878540.1	K02299
NP_878541.1	K02298
NP_878542.1	K02297
NP_878543.1	K01358
NP_878544.1	K03544
NP_878545.1
NP_878546.1	K03575
NP_878547.1	K07447
NP_878548.1	K07735
NP_878549.1	K00789
NP_878550.1	K01480
NP_878551.1	K00927
NP_878552.1	K01624
NP_878553.1	K01807
NP_878554.1	K01934
NP_878555.1	K09888
NP_878556.1	K03185
NP_878557.1	K06980
NP_878558.1	K02836
NP_878559.1	K04567
NP_878560.1	K01586
NP_878561.1	K08311
NP_878562.1	K13292
NP_878563.1	K03583
NP_878564.1	K03581
NP_878565.1	K03582
NP_878566.1	K00674
NP_878567.1	K01265
NP_878568.1	K02967
NP_878569.1	K02357
NP_878570.1	K09903
NP_878571.1	K02838
NP_878572.1	K00099
NP_878573.1	K00806
NP_878574.1	K00981
NP_878575.1	K11749
NP_878576.1	K07277
NP_878577.1	K06142
NP_878578.1	K02536
NP_878579.1	K02372
NP_878580.1	K00677
NP_878581.1	K00748
NP_878582.1	K03470
NP_878583.1	K02337
NP_878584.1	K01962
NP_878585.1	K04075
NP_878586.1	K01881
NP_878587.1	K01961
NP_878588.1	K02160
NP_878589.1	K03786
NP_878590.1	K03569
NP_878591.1	K03570
NP_878592.1	K03571
NP_878593.1	K03568
NP_878594.1	K03592
NP_878595.1	K01338
NP_878596.1	K00759
NP_878597.1	K02343
NP_878598.1	K00939
NP_878599.1	K03269
NP_878600.1	K01883
NP_878601.1	K01491
NP_878602.1
NP_878603.1	K05837
NP_878604.1	K05515
NP_878605.1	K09710
NP_878606.1	K02340
NP_878607.1	K03643
NP_878608.1	K01869
NP_878609.1	K03820
NP_878610.1	K06189
NP_878611.1	K07042
NP_878612.1	K06217
NP_878613.1	K03184
NP_878614.1	K01443
NP_878615.1	K02564
NP_878616.1	K01886
NP_878617.1	K03839
NP_878618.1	K01835
NP_878619.1	K00241
NP_878620.1	K00242
NP_878621.1	K00239
NP_878622.1	K00240
NP_878623.1	K00164
NP_878624.1	K00658
NP_878625.1	K01903
NP_878626.1	K01902
NP_878627.1	K03562
NP_878628.1	K03560
NP_878629.1	K03646
NP_878630.1	K03641
NP_878631.1	K03640
NP_878632.1
NP_878633.1	K07404
NP_878634.1	K01834
NP_878635.1	K06890
NP_878636.1	K06942
NP_878637.1	K01056
NP_878638.1	K00948
NP_878639.1	K00919
NP_878640.1	K02835
NP_878641.1	K02493
NP_878642.1	K01627
NP_878643.1	K01868
NP_878644.1	K02520
NP_878645.1	K02916
NP_878646.1	K02887
NP_878647.1	K01889
NP_878648.1	K01890
NP_878649.1	K03800
NP_878650.1	K05997
NP_878651.1	K09014
NP_878652.1	K09013
NP_878653.1	K09015
NP_878654.1	K11717
NP_878655.1	K02426
NP_878656.1	K06078
NP_878657.1	K00793
NP_878658.1	K07390
NP_878659.1	K03683
NP_878660.1	K06075
NP_878661.1	K00275
NP_878662.1	K01866
NP_878663.1	K10773
NP_878664.1	K01679
NP_878665.1
NP_878666.1	K03186
NP_878667.1	K00979
NP_878668.1	K09791
NP_878669.1	K00912
NP_878670.1	K11085
NP_878671.1	K02945
NP_878672.1	K00945
NP_878673.1	K00800
NP_878674.1	K00831
NP_878675.1	K01875
NP_878676.1	K03634
NP_878677.1	K03466
NP_878678.1	K00384
NP_878679.1	K02518
NP_878680.1	K02014
NP_878681.1
NP_878682.1	K08308
NP_878683.1	K00566
NP_878684.1	K01756
NP_878685.1	K09808
NP_878686.1	K09810
NP_878687.1	K09808
NP_878688.1	K07337
NP_878689.1	K02503
NP_878690.1	K03424
NP_878691.1	K02341
NP_878692.1	K00943
NP_878693.1	K02619
NP_878694.1	K02078
NP_878695.1	K00059
NP_878696.1	K00645
NP_878697.1	K00648
NP_878698.1	K03621
NP_878699.1	K02911
NP_878700.1	K06179
NP_878701.1	K08300
NP_878702.1	K02517
NP_878703.1	K00995
NP_878704.1	K11179
NP_878705.1	K11940
NP_878706.1	K01716
NP_878707.1	K01893
NP_878708.1	K00813
NP_878709.1
NP_878710.1	K00208
NP_878711.1	K01497
NP_878712.1	K01657
NP_878713.1	K01658
NP_878714.1	K00766
NP_878715.1	K13498
NP_878716.1	K01696
NP_878717.1	K01695
NP_878718.1	K03832
NP_878719.1	K06131
NP_878720.1	K00857
NP_878721.1	K01142
NP_878722.1	K04773
NP_878723.1	K00134
NP_878724.1	K03611
NP_878725.1	K03610
NP_878726.1	K03609
NP_878727.1	K03608
NP_878728.1	K14742
NP_878729.1	K01665
NP_878730.1
NP_878731.1	K02793,K02794
NP_878732.1	K02795
NP_878733.1	K02796
NP_878734.1	K03704
NP_878735.1	K00036
NP_878736.1	K00873
NP_878737.1
NP_878738.1	K01876
NP_878739.1	K01887
NP_878740.1	K03980
NP_878741.1	K08162
NP_878742.1	K02467
NP_878743.1	K09802
NP_878744.1	K01141
NP_878745.1	K00765
NP_878746.1	K00013
NP_878747.1	K00817
NP_878748.1	K01089
NP_878749.1	K02501
NP_878750.1	K01814
NP_878751.1	K02500
NP_878752.1	K11755
NP_878753.1	K00033
NP_878754.1	K01874
NP_878755.1	K01495
NP_878756.1	K02897
NP_878757.1	K01921
NP_878758.1	K09475
NP_878759.1	K02469
NP_878760.1	K00568
NP_878761.1	K00525
NP_878762.1	K00526
NP_878763.1	K11107
NP_878764.1	K00343
NP_878765.1	K00342
NP_878766.1	K00341
NP_878767.1	K00340
NP_878768.1	K00339
NP_878769.1	K00338
NP_878770.1	K00337
NP_878771.1	K00336
NP_878772.1	K00335
NP_878773.1	K00334
NP_878774.1	K13378
NP_878775.1	K00331
NP_878776.1	K00330
NP_878777.1	K11754
NP_878778.1	K01963
NP_878779.1	K06173
NP_878780.1	K03473
NP_878781.1	K00647
NP_878782.1	K07320
NP_878783.1	K01736
NP_878784.1	K03322
NP_878785.1	K11535
NP_878786.1	K01885
NP_878787.1	K01972
NP_878788.1	K01738
NP_878789.1	K02784
NP_878790.1	K08483
NP_878791.1	K02045
NP_878792.1	K02047
NP_878793.1	K02046
NP_878794.1	K02048
NP_878795.1	K00616
NP_878796.1	K00615
NP_878797.1	K01439
NP_878798.1	K01714
NP_878799.1	K03564
NP_878800.1	K00761
NP_878801.1	K03189
NP_878802.1	K03188
NP_878803.1	K01428
NP_878804.1	K01429
NP_878805.1	K01430
NP_878806.1	K03190
NP_878807.1	K01951
NP_878808.1	K00088
NP_878809.1	K00116
NP_878810.1	K03977
NP_878811.1	K01892
NP_878812.1	K00940
NP_878813.1	K04487
NP_878814.1	K01092
NP_878815.1	K00600
NP_878816.1	K11991
NP_878817.1	K00997
NP_878818.1	K03474
NP_878819.1	K03685
NP_878820.1	K03100
NP_878821.1	K03596
NP_878822.1	K03648
NP_878823.1	K03687
NP_878824.1	K00858
NP_878825.1	K06186
NP_878826.1
NP_878827.1	K03664
NP_878828.1	K03297
NP_878829.1	K00998
NP_878830.1	K00602
NP_878831.1	K03046
NP_878832.1	K03043
NP_878833.1	K02935
NP_878834.1	K02864
NP_878835.1	K02863
NP_878836.1	K02867
NP_878837.1	K02601
NP_878838.1	K03073
NP_878839.1	K02358
NP_878840.1	K02355
NP_878841.1	K02992
NP_878842.1	K02950
NP_878843.1	K01664
NP_878844.1	K01867
NP_878845.1	K01783
NP_878846.1	K01735
NP_878847.1	K00891
NP_878848.1	K07400
NP_878849.1	K00133
NP_878850.1
NP_878851.1	K07024
NP_878852.1	K03284
NP_878853.1	K07025
NP_878854.1	K01778
NP_878855.1	K01749
NP_878856.1	K01719
NP_878857.1	K03628
NP_878858.1	K03671
NP_878859.1	K00053
NP_878860.1	K01754
NP_878861.1	K01687
NP_878862.1	K00826
NP_878863.1	K11258
NP_878864.1	K01652
NP_878865.1	K00297
NP_878866.1	K01739
NP_878867.1	K02909
NP_878868.1	K00528
NP_878869.1	K01803
NP_878870.1	K00850
NP_878871.1	K00640
NP_878872.1	K00057
NP_878873.1	K03676
NP_878874.1
NP_878875.1	K03274
NP_878876.1	K02843
NP_878877.1	K02841
NP_878878.1	K02527
NP_878879.1	K02913
NP_878880.1	K02902
NP_878881.1	K01520
NP_878882.1
NP_878883.1
NP_878884.1	K00942
NP_878885.1	K03060
NP_878886.1	K01915
NP_878887.1	K02335
NP_878888.1	K03182
NP_878889.1	K03688
NP_878890.1	K03183
NP_878891.1	K09760
NP_878892.1	K00757
NP_878893.1	K00549
NP_878894.1	K03089
NP_878895.1	K03110
NP_878896.1	K08316
NP_878897.1	K01810
NP_878898.1	K00651
