NP_871004.1	K03495
NP_871112.1	K03687
NP_871113.1	K00858
NP_871114.1
NP_871115.1	K03664
NP_871116.1	K01876
NP_871117.1	K01159
NP_871118.1	K09816
NP_871119.1	K09817
NP_871120.1
NP_871121.1	K03322
NP_871122.1	K03183
NP_871123.1	K03688
NP_871124.1	K03182
NP_871125.1	K03498
NP_871126.1	K00230
NP_871127.1	K00813
NP_871128.1
NP_871129.1	K01885
NP_871130.1	K03179
NP_871131.1	K00631
NP_871132.1	K01887
NP_871133.1	K03980
NP_871134.1	K00226
NP_871135.1	K01698
NP_871136.1	K01776
NP_871137.1	K00998
NP_871138.1	K16322
NP_871139.1	K00873
NP_871140.1	K01952
NP_871141.1	K11991
NP_871142.1	K02996
NP_871143.1	K02871
NP_871144.1	K06916
NP_871145.1	K09908
NP_871146.1	K04772
NP_871147.1	K01662
NP_871148.1	K00795
NP_871149.1	K00077
NP_871150.1	K02297
NP_871151.1	K02298
NP_871152.1	K02299
NP_871153.1	K02300
NP_871154.1	K02301
NP_871155.1	K03770
NP_871156.1	K01338
NP_871157.1	K03544
NP_871158.1	K01358
NP_871159.1	K03545
NP_871160.1
NP_871161.1	K03517
NP_871162.1	K10012
NP_871163.1	K10011
NP_871164.1
NP_871165.1	K07264
NP_871166.1	K03978
NP_871167.1	K07447
NP_871168.1	K07735
NP_871169.1	K01920
NP_871170.1	K09761
NP_871171.1	K01869
NP_871172.1	K03643
NP_871173.1	K02340
NP_871174.1	K00969
NP_871175.1	K05515
NP_871176.1	K05837
NP_871177.1	K07258
NP_871178.1	K03801
NP_871179.1	K03644
NP_871180.1	K03704
NP_871181.1	K03218
NP_871182.1	K01939
NP_871183.1	K13788
NP_871184.1	K00925
NP_871185.1	K01669
NP_871186.1	K00791
NP_871187.1	K03666
NP_871188.1	K04088
NP_871189.1	K04087
NP_871190.1
NP_871191.1	K02029
NP_871192.1	K02029
NP_871193.1	K02028
NP_871194.1	K02030
NP_871195.1	K09862
NP_871196.1	K00859
NP_871197.1	K03596
NP_871198.1	K03100
NP_871199.1	K03685
NP_871200.1	K03474
NP_871201.1	K00997
NP_871202.1	K02405
NP_871203.1	K03070
NP_871204.1	K02535
NP_871205.1	K03531
NP_871206.1	K03590
NP_871207.1	K03589
NP_871208.1	K01924
NP_871209.1	K02563
NP_871210.1	K03588
NP_871211.1	K01925
NP_871212.1	K01000
NP_871213.1	K01929
NP_871214.1	K01928
NP_871215.1	K03587
NP_871216.1	K03586
NP_871217.1	K03438
NP_871218.1	K02217
NP_871219.1	K02345
NP_871220.1	K01921
NP_871221.1	K01834
NP_871222.1	K06148
NP_871223.1	K06147
NP_871224.1	K05592
NP_871225.1	K00962
NP_871226.1	K02956
NP_871227.1	K03177
NP_871228.1	K02834
NP_871229.1	K02519
NP_871230.1	K02600
NP_871231.1	K03075
NP_871232.1	K03431
NP_871233.1	K00796
NP_871234.1	K03798
NP_871235.1	K02427
NP_871236.1	K03624
NP_871237.1	K01872
NP_871238.1	K03553
NP_871239.1	K01626
NP_871240.1	K02858
NP_871241.1	K00974
NP_871242.1	K02518
NP_871243.1	K01749
NP_871244.1	K01719
NP_871245.1	K01491
NP_871246.1	K01883
NP_871247.1	K03269
NP_871248.1	K01588
NP_871249.1	K01589
NP_871250.1	K01919
NP_871251.1	K03106
NP_871252.1	K02959
NP_871253.1	K02884
NP_871254.2	K00979
NP_871255.1	K09791
NP_871256.1	K00912
NP_871257.1	K11085
NP_871258.1	K03210
NP_871259.1	K02335
NP_871260.1	K03673
NP_871261.1	K04077
NP_871262.1	K04078
NP_871263.1	K02939
NP_871264.1	K02963
NP_871265.1	K02990
NP_871266.1	K01893
NP_871267.1	K00950
NP_871268.1	K03583
NP_871269.1	K03582
NP_871270.1	K03581
NP_871271.1	K01448
NP_871272.1
NP_871273.1	K01778
NP_871274.1	K07025
NP_871275.1	K03657
NP_871276.1	K03284
NP_871277.1	K01803
NP_871278.1	K00528
NP_871279.1	K08154
NP_871280.1	K03667
NP_871281.1	K01419
NP_871282.1	K02909
NP_871283.1	K09687
NP_871284.1	K09686
NP_871285.1	K01439
NP_871286.1	K03648
NP_871287.1	K04487
NP_871288.1	K01092
NP_871289.1
NP_871290.1	K02356
NP_871291.1	K01886
NP_871292.1	K00954
NP_871293.1	K02527
NP_871294.1	K08289
NP_871295.1	K03527
NP_871296.1	K03101
NP_871297.1	K01870
NP_871298.1	K11753
NP_871299.1	K02968
NP_871300.1	K03313
NP_871301.1	K03686
NP_871302.1	K04043
NP_871303.1	K01716
NP_871304.1	K07400
NP_871305.1	K02805
NP_871306.1	K03628
NP_871307.1	K03671
NP_871308.1	K00927
NP_871309.1	K01624
NP_871310.1	K03787
NP_871311.1	K03473
NP_871312.1	K06173
NP_871313.1	K01963
NP_871314.1	K11754
NP_871315.1	K03558
NP_871316.1	K00764
NP_871317.1	K03186
NP_871318.1	K00995
NP_871319.1	K00789
NP_871320.1	K01495
NP_871321.1	K00941
NP_871322.1	K13292
NP_871323.1	K00560
NP_871324.1	K00382
NP_871325.1	K00627
NP_871326.1	K00163
NP_871327.1	K00767
NP_871328.1	K11719
NP_871329.1	K06861
NP_871330.1	K06041
NP_871331.1
NP_871332.1	K00790
NP_871333.1	K01923
NP_871334.1	K01714
NP_871335.1	K01933
NP_871336.1	K00793
NP_871337.1	K07390
NP_871338.1	K03683
NP_871339.1	K06075
NP_871340.1	K00275
NP_871341.1	K01866
NP_871342.1	K10773
NP_871343.1
NP_871344.1	K01679
NP_871345.1	K01916
NP_871346.1	K01627
NP_871347.1	K02493
NP_871348.1	K02835
NP_871349.1	K02492
NP_871350.1	K02494
NP_871351.1	K00919
NP_871352.1	K00948
NP_871353.1	K01056
NP_871354.1	K06942
NP_871355.1	K16291
NP_871356.1	K01689
NP_871357.2	K01937
NP_871358.1	K06078
NP_871359.1	K02426
NP_871360.1	K11717
NP_871361.1	K09015
NP_871362.1	K09013
NP_871363.1	K09014
NP_871364.1	K05997
NP_871365.1	K00208
NP_871366.1	K01591
NP_871367.1	K01497
NP_871368.1
NP_871369.1	K06131
NP_871370.1	K03746
NP_871371.1	K00012
NP_871372.1	K00963
NP_871373.1	K01433
NP_871374.1	K01142
NP_871375.1
NP_871376.1	K03608
NP_871377.1	K03609
NP_871378.1	K03610
NP_871379.1	K01775
NP_871380.1	K11105
NP_871381.1	K01962
NP_871382.1	K02337
NP_871383.1	K00748
NP_871384.1	K00677
NP_871385.1	K02536
NP_871386.1	K06142
NP_871387.1	K07277
NP_871388.1	K11749
NP_871389.1	K00981
NP_871390.1	K00806
NP_871391.1	K00099
NP_871392.1	K02838
NP_871393.1	K09903
NP_871394.1	K02357
NP_871395.1	K02967
NP_871396.1	K01265
NP_871397.1	K00674
NP_871398.1	K01744
NP_871399.1	K03926
NP_871400.1	K05595
NP_871401.1	K01414
NP_871402.1	K04075
NP_871403.2	K00762
NP_871404.1	K01520
NP_871405.1	K13038
NP_871406.1	K02902
NP_871407.1	K02913
NP_871408.1	K03060
NP_871409.1	K00942
NP_871410.1
NP_871411.1	K00647
NP_871412.1	K07320
NP_871413.1
NP_871414.1	K03640
NP_871415.1	K03641
NP_871416.1	K03646
NP_871417.1	K03560
NP_871418.1	K03562
NP_871419.1	K01902
NP_871420.1	K01903
NP_871421.1	K00658
NP_871422.1	K00164
NP_871423.1	K00240
NP_871424.1	K00239
NP_871425.1	K00242
NP_871426.1	K00241
NP_871427.1
NP_871428.1	K01835
NP_871429.1	K03839
NP_871430.1	K05802
NP_871431.1	K01613
NP_871432.1	K13288
NP_871433.1
NP_871434.1	K03185
NP_871435.1	K01262
NP_871436.1	K09888
NP_871437.1	K13821
NP_871438.1	K01972
NP_871439.1	K01243
NP_871440.1	K06980
NP_871441.1	K09159
NP_871442.1	K07462
NP_871443.1	K02836
NP_871444.1	K04567
NP_871445.1
NP_871446.1	K00133
NP_871447.1	K00568
NP_871448.1	K02469
NP_871449.1	K03820
NP_871450.1	K07042
NP_871451.1	K01918
NP_871452.1	K00606
NP_871453.1	K07056
NP_871454.1
NP_871455.1	K00833
NP_871456.1	K01012
NP_871457.1	K00652
NP_871458.1	K02169
NP_871459.1	K01935
NP_871460.1	K11720
NP_871461.1	K07091
NP_871462.1	K01255
NP_871463.1	K01873
NP_871464.1	K00609
NP_871465.1	K11752
NP_871466.1	K00794
NP_871467.1	K03625
NP_871468.1	K00946
NP_871469.1	K01095
NP_871470.1
NP_871471.1	K03086
NP_871472.1	K02316
NP_871473.1	K02970
NP_871474.1	K01409
NP_871475.1	K01633
NP_871476.1	K06153
NP_871477.1	K03184
NP_871478.1	K03979
NP_871479.1	K02899
NP_871480.1	K02888
NP_871481.1	K02523
NP_871482.1	K03841
NP_871483.1	K01507
NP_871484.1	K09800
NP_871485.1
NP_871486.1	K07278
NP_871487.1	K02945
NP_871488.1	K00945
NP_871489.1	K00831
NP_871490.1	K03386
NP_871491.1	K03311
NP_871492.1	K01875
NP_871493.1	K03634
NP_871494.1	K03466
NP_871495.1	K00384
NP_871496.1	K03837
NP_871497.1	K03499
NP_871498.1	K00604
NP_871499.1	K01462
NP_871500.1	K07566
NP_871501.1	K00655
NP_871502.1	K02314
NP_871503.1	K03111
NP_871504.1	K00600
NP_871505.1	K01807
NP_871506.1	K11940
NP_871507.1	K03150
NP_871508.1	K03149
NP_871509.1	K00788
NP_871510.1	K03147
NP_871511.1	K01599
NP_871512.1	K05787
NP_871513.1	K01945
NP_871514.1	K00602
NP_871515.1	K00075
NP_871516.1	K03524
NP_871517.1	K00867
NP_871518.1	K02358
NP_871519.1	K03073
NP_871520.1	K02601
NP_871521.1	K02867
NP_871522.1	K02863
NP_871523.1	K02864
NP_871524.1	K02935
NP_871525.1	K03043
NP_871526.1	K03046
NP_871527.1	K05839
NP_871528.1	K02343
NP_871529.1	K09747
NP_871530.1	K04079
NP_871531.1	K00939
NP_871532.1	K01772
NP_871533.1	K06890
NP_871534.1	K01770
NP_871535.1	K00991
NP_871536.1	K05589
NP_871537.1	K05807
NP_871538.1	K06180
NP_871539.1	K01874
NP_871540.1	K01494
NP_871541.1	K07662
NP_871542.1	K00057
NP_871543.1	K03676
NP_871544.1
NP_871545.1	K02946
NP_871546.1	K02906
NP_871547.1	K02926
NP_871548.1	K02892
NP_871549.1	K02886
NP_871550.1	K02965
NP_871551.1	K02890
NP_871552.1	K02982
NP_871553.1	K02878
NP_871554.1	K02904
NP_871555.1	K02961
NP_871556.1	K02874
NP_871557.1	K02895
NP_871558.1	K02931
NP_871559.1	K02954
NP_871560.1	K02994
NP_871561.1	K02933
NP_871562.1	K02881
NP_871563.1	K02988
NP_871564.1	K02907
NP_871565.1	K02876
NP_871566.1	K03076
NP_871567.1	K02919
NP_871568.1	K02952
NP_871569.1	K02948
NP_871570.2	K02986
NP_871571.1	K03040
NP_871572.1	K02879
NP_871573.1	K00940
NP_871574.1	K06941
NP_871575.1	K15539
NP_871576.1	K03526
NP_871577.1	K01892
NP_871578.1
NP_871579.1	K03977
NP_871580.1	K01610
NP_871581.1	K00891
NP_871582.1	K03112
NP_871583.1	K01783
NP_871584.1	K01867
NP_871585.1	K00615
NP_871586.1	K00616
NP_871587.1	K00228
NP_871588.1	K02170
NP_871589.1	K03297
NP_871590.1	K01953
NP_871591.1	K07038
NP_871592.1	K01915
NP_871593.1	K00610
NP_871594.1	K12524
NP_871595.1
NP_871596.1	K01878
NP_871597.1	K01879
NP_871598.1	K04564
NP_871599.1	K05365
NP_871600.1	K01881
NP_871601.1	K01810
NP_871602.1	K03571
NP_871603.1	K03570
NP_871604.1	K03569
NP_871605.1	K02160
NP_871606.1	K01961
NP_871607.1	K00116
NP_871608.1	K00088
NP_871609.1	K01951
NP_871610.1
NP_871611.1	K03549
NP_871612.1	K00526
NP_871613.1	K00525
NP_871614.1	K03647
