NP_777640.1	K03495
NP_777839.1	K01265
NP_777840.1	K02967
NP_777841.1	K02357
NP_777842.1	K09903
NP_777843.1	K02838
NP_777844.1	K00806
NP_777845.1	K02372
NP_777846.1	K02337
NP_777847.1	K01881
NP_777848.1	K02401
NP_777849.1	K02400
NP_777850.1	K01887
NP_777851.1	K01069
NP_777852.1	K03469
NP_777853.1	K02342
NP_777854.1	K00769
NP_777855.1	K03687
NP_777856.1	K09801
NP_777857.1	K03664
NP_777858.1	K11991
NP_777859.1	K00997
NP_777860.1	K03595
NP_777861.1	K03685
NP_777862.1	K03100
NP_777863.1	K03596
NP_777864.1	K00566
NP_777865.1	K07153
NP_777866.1	K01756
NP_777867.1	K08308
NP_777868.1	K00208
NP_777869.1	K01147
NP_777870.1
NP_777871.1	K03801
NP_777872.1	K03644
NP_777873.1	K01591
NP_777874.1	K01497
NP_777875.1	K06131
NP_777876.1	K10806
NP_777877.1	K06190
NP_777878.1
NP_777879.1	K01695
NP_777880.1	K01696
NP_777881.1	K13498
NP_777882.1	K00766
NP_777883.1	K06178
NP_777884.1	K04774
NP_777885.1	K01092
NP_777886.1	K06941
NP_777887.1	K01892
NP_777888.1	K00600
NP_777889.1	K01935
NP_777890.1	K02169
NP_777891.1	K00652
NP_777892.1	K01012
NP_777893.1	K00833
NP_777894.1	K07404
NP_777895.1	K03723
NP_777896.1	K00134
NP_777897.1	K03839
NP_777898.1	K01669
NP_777899.1
NP_777900.1	K00164
NP_777901.1	K00658
NP_777902.1	K03640
NP_777903.1	K01834
NP_777904.1	K00850
NP_777905.1	K01803
NP_777906.2	K02945
NP_777907.1	K00945
NP_777908.1	K00800
NP_777909.1	K00831
NP_777910.1	K01875
NP_777911.1	K00384
NP_777912.1	K02518
NP_777913.1	K01876
NP_777914.1	K09816
NP_777915.1	K09817
NP_777916.1
NP_777917.1	K00873
NP_777918.1	K00036
NP_777919.1	K03799
NP_777920.1
NP_777921.1
NP_777922.1	K03608
NP_777923.1	K03609
NP_777924.1	K03610
NP_777925.1	K00564
NP_777926.1	K03980
NP_777927.1	K02387
NP_777928.1	K02388
NP_777929.2	K02391
NP_777930.1	K02392
NP_777931.1	K02393
NP_777932.1	K02394
NP_777933.1	K02395
NP_777934.1	K08300
NP_777935.1	K06179
NP_777936.1	K02911
NP_777937.1	K00645
NP_777938.1	K00059
NP_777939.1	K02078
NP_777940.1	K00943
NP_777941.1	K02341
NP_777942.1	K03424
NP_777943.1	K02779,K02778
NP_777944.1	K02503
NP_777945.1	K01893
NP_777946.1	K07146
NP_777947.1	K01873
NP_777948.1	K01255
NP_777949.1	K00611
NP_777950.1	K07567
NP_777951.1	K05592
NP_777952.1	K00962
NP_777953.1	K02956
NP_777954.1	K03177
NP_777955.1	K02834
NP_777956.1	K02519
NP_777957.1	K02600
NP_777958.1	K03431
NP_777959.1	K03798
NP_777960.1	K02427
NP_777961.1	K03624
NP_777962.1
NP_777963.1	K00790
NP_777964.1	K02888
NP_777965.1	K02899
NP_777966.1	K03979
NP_777967.1	K02996
NP_777968.1	K02871
NP_777969.1	K14170
NP_777970.1	K03106
NP_777971.1	K02959
NP_777972.1	K02860
NP_777973.1	K00554
NP_777974.1	K02884
NP_777975.1	K03568
NP_777976.1	K03786
NP_777977.1	K06180
NP_777978.1	K01872
NP_777979.1	K03563
NP_777980.1	K01919
NP_777981.1	K01150
NP_777982.1
NP_777983.1	K01807
NP_777984.1	K01886
NP_777985.1	K01937
NP_777986.1	K01689
NP_777987.1	K03555
NP_777988.1	K03673
NP_777989.1	K02335
NP_777990.1	K03978
NP_777991.1	K06207
NP_777992.1	K00942
NP_777993.1	K00560
NP_777994.1	K13292
NP_777995.1	K01586
NP_777996.1	K04567
NP_777997.1	K02836
NP_777998.1	K06980
NP_777999.1	K06168
NP_778000.1	K07042
NP_778001.1	K06189
NP_778002.1	K01869
NP_778003.1	K02340
NP_778004.1	K04085
NP_778005.1	K00133
NP_778006.1
NP_778007.1	K00927
NP_778008.1	K01624
NP_778009.1	K03442
NP_778010.1	K03583
NP_778011.1	K03582
NP_778012.1	K03581
NP_778013.1	K00794
NP_778014.1	K11752
NP_778015.1	K03625
NP_778016.1
NP_778017.1	K11179
NP_778018.1	K02301
NP_778019.1	K02300
NP_778020.1	K02299
NP_778021.1	K02298
NP_778022.1	K02297
NP_778023.1	K05527
NP_778024.1	K01358
NP_778025.1	K03544
NP_778026.1	K01338
NP_778027.1	K03770
NP_778028.1	K06147
NP_778029.1	K06148
NP_778030.1	K02343
NP_778031.1	K09747
NP_778032.1	K04079
NP_778033.1	K00939
NP_778034.1	K01491
NP_778035.1	K01883
NP_778036.1	K09158
NP_778037.1	K03704
NP_778038.1	K00014
NP_778039.1	K07566
NP_778040.1	K01462
NP_778041.1	K00604
NP_778042.1	K02879
NP_778043.1	K03040
NP_778044.1	K02986
NP_778045.1	K02948
NP_778046.1	K02952
NP_778047.1	K02919
NP_778048.1	K03076
NP_778049.1	K02876
NP_778050.1	K02907
NP_778051.1	K02988
NP_778052.1	K02881
NP_778053.1	K02933
NP_778054.1	K02994
NP_778055.1	K02954
NP_778056.1	K02931
NP_778057.1	K02895
NP_778058.1	K02874
NP_778059.1	K02961
NP_778060.1	K02904
NP_778061.1	K02878
NP_778062.1	K02982
NP_778063.1	K02890
NP_778064.1	K02965
NP_778065.1	K02886
NP_778066.1	K02892
NP_778067.1	K02926
NP_778068.1	K02906
NP_778069.1	K02946
NP_778070.1	K02358
NP_778071.1	K02355
NP_778072.1	K02992
NP_778073.1	K02950
NP_778074.1	K07237
NP_778075.1	K07236
NP_778076.1	K07235
NP_778077.1	K03772
NP_778078.1	K06141
NP_778079.1	K01867
NP_778080.1	K01783
NP_778081.1	K01735
NP_778082.1	K00891
NP_778083.1	K03784
NP_778084.1	K01839
NP_778085.1	K02837
NP_778086.1	K07400
NP_778087.1	K02170
NP_778088.1	K03111
NP_778089.1	K02314
NP_778090.1	K01920
NP_778091.1	K07735
NP_778092.1	K07447
NP_778093.1	K01649
NP_778094.1	K01704
NP_778095.1	K01703
NP_778096.1	K00052
NP_778097.1	K06997
NP_778098.1	K02495
NP_778099.1	K03439
NP_778100.1	K03575
NP_778101.1
NP_778102.1	K01776
NP_778103.1	K01141
NP_778104.1	K00762
NP_778105.1	K01520
NP_778106.1	K02939
NP_778107.1	K02963
NP_778108.1	K02990
NP_778109.1	K01939
NP_778110.1	K04087
NP_778111.1	K04088
NP_778112.1	K00791
NP_778113.1	K03572
NP_778114.1	K00009
NP_778115.1	K02800,K02798,K02799
NP_778116.1	K01810
NP_778117.1	K13288
NP_778118.1	K01448
NP_778119.1	K02909
NP_778120.1	K01419
NP_778121.1	K03667
NP_778122.1	K01658
NP_778123.1	K01657
NP_778124.1	K00528
NP_778125.1	K04568
NP_778126.1
NP_778127.1	K06149
NP_778128.1	K03306
NP_778129.1	K08224
NP_778130.1	K01778
NP_778131.1	K06202
NP_778132.1	K03628
NP_778133.1	K03671
NP_778134.1	K03656
NP_778135.1	K00053
NP_778136.1	K01687
NP_778137.1	K04487
NP_778138.1	K04488
NP_778139.1	K04082
NP_778140.1	K04044
NP_778141.1	K04755
NP_778142.1	K03977
NP_778143.1
